anno,Limitazioni gravi,Limitazioni non gravi,Senza limitazioni,Non indicato,Totale,file,tavola,pagina,regione
2016,3.1,17.5,74.2,5.2,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Piemonte
2017,4,16.7,75,4.4,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Piemonte
2018,4,19,73.1,3.9,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Piemonte
2019,3.9,18.2,74.2,3.7,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Piemonte
2009,8.2,30,56.2,5.6,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Piemonte
2010,8.8,26.7,55.4,9.1,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Piemonte
2011,8.7,26.4,55.2,9.7,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Piemonte
2012,7.8,28.1,56.4,7.6,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Piemonte
2013,7.7,27.9,56.4,8,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Piemonte
2014,8,27.9,58.1,5.9,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Piemonte
2015,7.1,28.8,59.8,4.3,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Piemonte
2016,7.4,28.8,59.4,4.3,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Piemonte
2017,6.8,26.1,63.7,3.3,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Piemonte
2018,6.3,26.5,64.8,2.4,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Piemonte
2019,7.3,29.1,59.8,3.8,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Piemonte
2009,15.7,35.6,44.5,4.2,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Piemonte
2010,16.3,38.2,39.7,5.8,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Piemonte
2011,16.2,37.5,40.8,5.5,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Piemonte
2012,16.2,36.7,40.7,6.3,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Piemonte
2013,17.1,38.4,37.8,6.7,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Piemonte
2014,19.2,38.1,37.8,4.9,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Piemonte
2015,16.4,37.9,41.8,3.9,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Piemonte
2016,15.9,38.6,40.9,4.6,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Piemonte
2017,21.4,38.3,36.4,3.9,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Piemonte
2018,21,38.1,37.3,3.6,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Piemonte
2019,16,38.7,41.4,3.9,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Piemonte
2009,#,#,#,#,#,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Piemonte
2010,#,#,#,#,#,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Piemonte
2011,#,#,#,#,#,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Piemonte
2012,#,#,#,#,#,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Piemonte
2013,#,#,#,#,#,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Piemonte
2014,#,#,#,#,#,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Piemonte
2015,#,#,#,#,#,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Piemonte
2016,#,#,#,#,#,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Piemonte
2017,#,#,#,#,#,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Piemonte
2018,#,#,#,#,#,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Piemonte
2019,#,#,#,#,#,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Piemonte
2009,2.6,6.2,80.8,10.4,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Valle d'Aosta / Vallée d'Aoste
2010,2.2,6.7,82.5,8.7,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Valle d'Aosta / Vallée d'Aoste
2011,1.6,6,84.3,8.1,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Valle d'Aosta / Vallée d'Aoste
2012,1.1,6.9,82.2,9.7,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Valle d'Aosta / Vallée d'Aoste
2013,0.8,7.8,81.7,9.7,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Valle d'Aosta / Vallée d'Aoste
2014,0.9,6.3,85,7.8,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Valle d'Aosta / Vallée d'Aoste
2015,1,6.1,85.7,7.1,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Valle d'Aosta / Vallée d'Aoste
2016,1.2,7.9,84,6.9,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Valle d'Aosta / Vallée d'Aoste
2017,1.8,8.2,85.2,4.8,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Valle d'Aosta / Vallée d'Aoste
2018,1.8,6.9,87.2,4.1,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Valle d'Aosta / Vallée d'Aoste
2019,0.9,7.6,86.3,5.3,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Valle d'Aosta / Vallée d'Aoste
2009,5.8,19.1,66,9.1,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Valle d'Aosta / Vallée d'Aoste
2010,5.2,17.7,69.4,7.7,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Valle d'Aosta / Vallée d'Aoste
2011,3.9,17.5,70.6,7.9,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Valle d'Aosta / Vallée d'Aoste
2012,3.9,14.8,72.2,9,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Valle d'Aosta / Vallée d'Aoste
2013,4.8,14.5,72,8.7,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Valle d'Aosta / Vallée d'Aoste
2014,3.7,18.3,71.9,6.2,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Valle d'Aosta / Vallée d'Aoste
2015,3,18.5,73.1,5.4,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Valle d'Aosta / Vallée d'Aoste
2016,3.6,17.8,72.7,5.9,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Valle d'Aosta / Vallée d'Aoste
2017,3.4,16.8,75,4.8,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Valle d'Aosta / Vallée d'Aoste
2018,4.3,13.5,76.1,6.1,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Valle d'Aosta / Vallée d'Aoste
2019,4.4,14.9,73.4,7.3,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Valle d'Aosta / Vallée d'Aoste
2009,10.5,33.1,49.5,7,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Valle d'Aosta / Vallée d'Aoste
2010,8.5,29.8,55.9,5.8,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Valle d'Aosta / Vallée d'Aoste
2011,7.5,27.7,57.7,7.2,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Valle d'Aosta / Vallée d'Aoste
2012,6.6,27.1,56.8,9.5,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Valle d'Aosta / Vallée d'Aoste
2013,5.3,26.1,59,9.5,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Valle d'Aosta / Vallée d'Aoste
2014,5.1,23.8,62.5,8.6,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Valle d'Aosta / Vallée d'Aoste
2015,6.1,27.3,57.9,8.7,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Valle d'Aosta / Vallée d'Aoste
2016,9.1,30.4,54,6.6,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Valle d'Aosta / Vallée d'Aoste
2017,8.3,30,57.9,3.8,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Valle d'Aosta / Vallée d'Aoste
2018,6.9,29.9,59.8,3.4,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Valle d'Aosta / Vallée d'Aoste
2019,8.3,27.7,59.4,4.5,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Valle d'Aosta / Vallée d'Aoste
2009,10.4,41.5,40.7,7.4,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Valle d'Aosta / Vallée d'Aoste
2010,17.8,44.6,29.4,8.2,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Valle d'Aosta / Vallée d'Aoste
2011,20.5,41.4,29.9,8.2,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Valle d'Aosta / Vallée d'Aoste
2012,17.7,35.7,38,8.7,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Valle d'Aosta / Vallée d'Aoste
2013,19.8,36.8,37,6.4,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Valle d'Aosta / Vallée d'Aoste
2014,21.1,39.4,34.4,5.1,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Valle d'Aosta / Vallée d'Aoste
2015,23.2,40.4,33,3.5,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Valle d'Aosta / Vallée d'Aoste
2016,21.4,37.1,35.6,5.9,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Valle d'Aosta / Vallée d'Aoste
2017,14.2,32.1,47.3,6.4,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Valle d'Aosta / Vallée d'Aoste
2018,17.7,32.5,46.5,3.2,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Valle d'Aosta / Vallée d'Aoste
2019,16.5,36.2,43.3,4.1,100,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,75 anni e più,Valle d'Aosta / Vallée d'Aoste
2009,#,#,#,#,#,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Valle d'Aosta / Vallée d'Aoste
2010,#,#,#,#,#,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Valle d'Aosta / Vallée d'Aoste
2011,#,#,#,#,#,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Valle d'Aosta / Vallée d'Aoste
2012,#,#,#,#,#,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Valle d'Aosta / Vallée d'Aoste
2013,#,#,#,#,#,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Valle d'Aosta / Vallée d'Aoste
2014,#,#,#,#,#,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Valle d'Aosta / Vallée d'Aoste
2015,#,#,#,#,#,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Valle d'Aosta / Vallée d'Aoste
2016,#,#,#,#,#,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Valle d'Aosta / Vallée d'Aoste
2017,#,#,#,#,#,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Valle d'Aosta / Vallée d'Aoste
2018,#,#,#,#,#,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Valle d'Aosta / Vallée d'Aoste
2019,#,#,#,#,#,g1V30927P09OH201000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,non indicato,Valle d'Aosta / Vallée d'Aoste
2009,2.2,5.6,82.8,9.4,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Liguria
2010,2,4.7,83.3,10,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Liguria
2011,2.3,4.7,83.7,9.2,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Liguria
2012,2,4.7,83.4,10,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Liguria
2013,1.1,4.3,85.2,9.3,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Liguria
2014,1.5,4.2,86,8.3,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Liguria
2015,1.7,4.8,85.9,7.6,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Liguria
2016,1.2,4.9,87.7,6.2,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Liguria
2017,1.1,4.2,89,5.6,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Liguria
2018,1.5,5.6,88.4,4.5,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Liguria
2019,1.5,6.5,86,6,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Liguria
2009,3.8,15,74.4,6.8,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Liguria
2010,4.7,13.4,75.5,6.4,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Liguria
2011,4.5,12.9,74.3,8.2,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Liguria
2012,4.3,12.8,74.6,8.2,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Liguria
2013,3.3,14.9,74.4,7.4,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Liguria
2014,3.1,19.1,71.2,6.6,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Liguria
2015,3.5,18.9,71.6,6,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Liguria
2016,4.7,17.2,72.4,5.7,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Liguria
2017,5.4,16.2,73.4,5.1,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Liguria
2018,4.5,16,74.3,5.2,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Liguria
2019,4.3,17.1,73.1,5.6,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Liguria
2009,9.1,27.2,58.8,4.9,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Liguria
2010,6,27.7,60.3,6,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Liguria
2011,5.8,25.2,61.7,7.3,100,g1V30927P09OH202000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,65-74 anni,Liguria
