file,scelta,Infanzia,Primaria,Secondaria primo grado,Secondaria secondo grado,Totale,descrizione,anno,gerarchia
g1US091LP09OG200000000,Assenza,,27.3,20.8,,25.3,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2012,regionale
g1US091LP09OG200000000,Non risponde,,8.8,8.8,,8.8,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2012,regionale
g1US091M909OG200000000,Presenza,,58.4,63.6,,59.9,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2012,regionale
g1US091M909OG200000000,Assenza,,30.9,26.6,,29.7,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2012,regionale
g1US091M909OG200000000,Non risponde,,10.7,9.8,,10.4,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2012,regionale
g1US091LP09OG300000000,Presenza,,64.4,75.2,,67.7,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2012,provinciale
g1US091LP09OG300000000,Assenza,,27.5,14.5,,23.5,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2012,provinciale
g1US091LP09OG300000000,Non risponde,,8.1,10.3,,8.8,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2012,provinciale
g1US091M909OG300000000,Presenza,,61.5,65.2,,62.6,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2012,provinciale
g1US091M909OG300000000,Assenza,,28.8,24.4,,27.5,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2012,provinciale
g1US091M909OG300000000,Non risponde,,9.7,10.5,,9.9,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2012,provinciale
g1UT091LP09OG200000000,Presenza,,64,73.9,,67.2,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2013,regionale
g1UT091LP09OG200000000,Assenza,,30.8,19.8,,27.3,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2013,regionale
g1UT091LP09OG200000000,Non risponde,,5.2,6.3,,5.5,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2013,regionale
g1UT091M909OG200000000,Presenza,,55.9,59.2,,56.9,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2013,regionale
g1UT091M909OG200000000,Assenza,,36.1,31.7,,34.8,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2013,regionale
g1UT091M909OG200000000,Non risponde,,8,9.2,,8.3,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2013,regionale
g1UT091LP09OG300000000,Presenza,,61.8,74,,65.7,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2013,provinciale
g1UT091LP09OG300000000,Assenza,,30.9,16.7,,26.3,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2013,provinciale
g1UT091LP09OG300000000,Non risponde,,7.3,9.3,,7.9,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2013,provinciale
g1UT091M909OG300000000,Presenza,,54.7,58.1,,55.7,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2013,provinciale
g1UT091M909OG300000000,Assenza,,33,28.9,,31.8,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2013,provinciale
g1UT091M909OG300000000,Non risponde,,12.3,13,,12.5,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2013,provinciale
g1UU091LP09OG200000000,Presenza,,73.5,81.7,,76.1,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2014,regionale
g1UU091LP09OG200000000,Assenza,,26.5,18.3,,23.9,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2014,regionale
g1UU091LP09OG200000000,Non risponde,,0,0,,0,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2014,regionale
g1UU091M909OG200000000,Presenza,,44.7,46.3,,45.2,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2014,regionale
g1UU091M909OG200000000,Assenza,,42.2,39.1,,41.3,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2014,regionale
g1UU091M909OG200000000,Non risponde,,13.2,14.6,,13.6,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2014,regionale
g1UU091LP09OG300000000,Presenza,,70.6,83.3,,74.7,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2014,provinciale
g1UU091LP09OG300000000,Assenza,,29.4,16.7,,25.3,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2014,provinciale
g1UU091LP09OG300000000,Non risponde,,0,0,,0,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2014,provinciale
g1UU091M909OG300000000,Presenza,,45.7,47.6,,46.2,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2014,provinciale
g1UU091M909OG300000000,Assenza,,39.9,35.6,,38.6,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2014,provinciale
g1UU091M909OG300000000,Non risponde,,14.5,16.9,,15.2,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2014,provinciale
g1UV091LP09OG200000000,Presenza,,71,76.4,,72.7,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2015,regionale
g1UV091LP09OG200000000,Assenza,,28.8,23.2,,27,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2015,regionale
g1UV091LP09OG200000000,Non risponde,,0.3,0.4,,0.3,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2015,regionale
g1UV091M909OG200000000,Presenza,,56.5,60,,57.6,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2015,regionale
g1UV091M909OG200000000,Assenza,,42.8,38.9,,41.6,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2015,regionale
g1UV091M909OG200000000,Non risponde,,0.7,1.1,,0.8,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2015,regionale
g1UV091LP09OG300000000,Presenza,,72.4,80.4,,75,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2015,provinciale
g1UV091LP09OG300000000,Assenza,,26.9,19.2,,24.4,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2015,provinciale
g1UV091LP09OG300000000,Non risponde,,0.7,0.5,,0.6,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2015,provinciale
g1UV091M909OG300000000,Presenza,,57.8,62.2,,59.1,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2015,provinciale
g1UV091M909OG300000000,Assenza,,41.1,36.5,,39.7,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2015,provinciale
g1UV091M909OG300000000,Non risponde,,1.1,1.3,,1.2,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2015,provinciale
g1V0091LP09OG200000000,Presenza,,71.3,76.1,,72.9,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2016,regionale
g1V0091LP09OG200000000,Assenza,,28.7,23.9,,27.1,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2016,regionale
g1V0091LP09OG200000000,Non risponde,,0,0,,0,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2016,regionale
g1V0091M909OG200000000,Presenza,,52.3,54,,52.8,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2016,regionale
g1V0091M909OG200000000,Assenza,,39.9,35.6,,38.6,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2016,regionale
g1V0091M909OG200000000,Non risponde,,7.8,10.5,,8.6,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2016,regionale
g1V0091LP09OG300000000,Presenza,,72.3,83.3,,75.7,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2016,provinciale
g1V0091LP09OG300000000,Assenza,,27.7,16.7,,24.3,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2016,provinciale
g1V0091LP09OG300000000,Non risponde,,0,0,,0,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2016,provinciale
g1V0091M909OG300000000,Presenza,,54.3,54.8,,54.4,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2016,provinciale
g1V0091M909OG300000000,Assenza,,37.3,33.5,,36.1,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2016,provinciale
g1V0091M909OG300000000,Non risponde,,8.5,11.7,,9.5,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2016,provinciale
g1V1091LP09OG200000000,Presenza,,72.2,77.7,,74,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2017,regionale
g1V1091LP09OG200000000,Assenza,,27.7,22.1,,25.9,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2017,regionale
g1V1091LP09OG200000000,Non risponde,,0.1,0.2,,0.1,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2017,regionale
g1V1091M909OG200000000,Presenza,,50,53.8,,51.1,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2017,regionale
g1V1091M909OG200000000,Assenza,,35.7,32.6,,34.8,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2017,regionale
g1V1091M909OG200000000,Non risponde,,14.2,13.6,,14.1,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2017,regionale
g1V1091LP09OG300000000,Presenza,,73.8,82.5,,76.6,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2017,provinciale
g1V1091LP09OG300000000,Assenza,,26.2,17.5,,23.4,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2017,provinciale
g1V1091LP09OG300000000,Non risponde,,0,0,,0,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2017,provinciale
g1V1091M909OG300000000,Presenza,,49.9,53.7,,51.1,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2017,provinciale
g1V1091M909OG300000000,Assenza,,33.6,30.4,,32.6,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2017,provinciale
g1V1091M909OG300000000,Non risponde,,16.4,15.9,,16.3,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2017,provinciale
g1V2091LP09OG200000000,Presenza,17.4,75,78.5,71.6,58.3,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2018,regionale
g1V2091LP09OG200000000,Assenza,82.4,24.7,21.5,28.1,41.5,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2018,regionale
g1V2091LP09OG200000000,Non risponde,0.1,0.3,0,0.3,0.2,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2018,regionale
g1V2091M909OG200000000,Presenza,45.4,55.2,57.8,53.6,51.4,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2018,regionale
g1V2091M909OG200000000,Assenza,35.3,36.8,32.8,27.4,34.5,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2018,regionale
g1V2091M909OG200000000,Non risponde,19.3,8,9.4,19,14.1,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2018,regionale
g1V2091LP09OG300000000,Presenza,15.4,74.4,81.6,73.6,56.2,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2018,provinciale
g1V2091LP09OG300000000,Assenza,84.4,24.9,18.4,25.7,43.3,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2018,provinciale
g1V2091LP09OG300000000,Non risponde,0.3,0.7,0,0.7,0.4,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2018,provinciale
g1V2091M909OG300000000,Presenza,50,56.4,59.1,57.7,54.3,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2018,provinciale
g1V2091M909OG300000000,Assenza,35.4,34.1,29.9,26.7,33.1,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2018,provinciale
g1V2091M909OG300000000,Non risponde,14.6,9.6,10.9,15.6,12.7,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2018,provinciale
g1V3091LP09OG200000000,Presenza,18.1,74.9,78.3,71.4,57.7,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2019,regionale
g1V3091LP09OG200000000,Assenza,81.7,24.8,21.5,27.9,41.9,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2019,regionale
g1V3091LP09OG200000000,Non risponde,0.2,0.4,0.2,0.7,0.3,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2019,regionale
g1V3091M909OG200000000,Presenza,44.3,53.2,55.5,53,49.9,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2019,regionale
g1V3091M909OG200000000,Assenza,38.6,41.4,36,29.5,38.2,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2019,regionale
g1V3091M909OG200000000,Non risponde,17.1,5.4,8.5,17.6,11.9,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2019,regionale
g1V3091LP09OG300000000,Presenza,14.7,75.2,77.9,75.8,55.1,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2019,provinciale
g1V3091LP09OG300000000,Assenza,85.3,24.3,22.1,22.7,44.5,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2019,provinciale
g1V3091LP09OG300000000,Non risponde,0,0.4,0,1.5,0.3,Numero scuole con alunni con disabilità per presenza postazioni informatiche adattate (Valori percentuali),2019,provinciale
g1V3091M909OG300000000,Presenza,47,55,56.8,54.2,51.8,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2019,provinciale
g1V3091M909OG300000000,Assenza,38.3,39.1,33.4,28.3,36.7,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2019,provinciale
g1V3091M909OG300000000,Non risponde,14.7,5.9,9.8,17.5,11.5,Numero scuole per caratteristiche edificio scolastico (Valori percentuali),2019,provinciale
