anno,Limitazioni gravi,Limitazioni non gravi,Senza limitazioni,Non indicato,Totale,file,tavola,pagina,regione
2010,624,1978,3275,441,6318,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,65-74 anni,Nazione Italia
2011,573,1914,3305,491,6284,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,65-74 anni,Nazione Italia
2012,566,1867,3409,468,6309,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,65-74 anni,Nazione Italia
2013,557,1938,3449,470,6413,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,65-74 anni,Nazione Italia
2014,556,1993,3490,460,6499,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,65-74 anni,Nazione Italia
2015,552,1972,3564,366,6455,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,65-74 anni,Nazione Italia
2016,524,1972,3653,322,6470,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,65-74 anni,Nazione Italia
2017,500,2007,3688,306,6501,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,65-74 anni,Nazione Italia
2018,471,2084,3716,274,6545,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,65-74 anni,Nazione Italia
2019,516,2097,3791,320,6724,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,65-74 anni,Nazione Italia
2009,1227,2155,1817,230,5428,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,75 anni e più,Nazione Italia
2010,1289,2157,1855,296,5597,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,75 anni e più,Nazione Italia
2011,1322,2175,1905,331,5733,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,75 anni e più,Nazione Italia
2012,1346,2237,1960,344,5886,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,75 anni e più,Nazione Italia
2013,1379,2302,1965,386,6032,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,75 anni e più,Nazione Italia
2014,1425,2364,2024,370,6183,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,75 anni e più,Nazione Italia
2015,1420,2496,2207,338,6460,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,75 anni e più,Nazione Italia
2016,1414,2637,2294,287,6632,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,75 anni e più,Nazione Italia
2017,1467,2746,2310,233,6756,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,75 anni e più,Nazione Italia
2018,1496,2750,2357,247,6850,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,75 anni e più,Nazione Italia
2019,1492,2633,2383,290,6798,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,75 anni e più,Nazione Italia
2009,0,0,0,0,0,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,non indicato,Nazione Italia
2010,0,0,0,0,0,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,non indicato,Nazione Italia
2011,0,0,0,0,0,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,non indicato,Nazione Italia
2012,0,0,0,0,0,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,non indicato,Nazione Italia
2013,0,0,0,0,0,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,non indicato,Nazione Italia
2014,0,0,0,0,0,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,non indicato,Nazione Italia
2015,0,0,0,0,0,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,non indicato,Nazione Italia
2016,0,0,0,0,0,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,non indicato,Nazione Italia
2017,0,0,0,0,0,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,non indicato,Nazione Italia
2018,0,0,0,0,0,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,non indicato,Nazione Italia
2019,0,0,0,0,0,g1V30926T09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per classe di età,non indicato,Nazione Italia
