anno,Limitazioni gravi,Limitazioni non gravi,Senza limitazioni,Non indicato,Totale,file,tavola,pagina,regione
2013,0,0,0,0,0,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Valle d'Aosta / Vallée d'Aoste
2014,0,0,0,0,0,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Valle d'Aosta / Vallée d'Aoste
2015,0,0,0,0,0,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Valle d'Aosta / Vallée d'Aoste
2016,0,0,0,0,0,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Valle d'Aosta / Vallée d'Aoste
2017,0,0,0,0,0,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Valle d'Aosta / Vallée d'Aoste
2018,0,0,0,0,0,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Valle d'Aosta / Vallée d'Aoste
2019,0,0,0,0,0,g1V20926V09OH201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Valle d'Aosta / Vallée d'Aoste
2009,38,102,563,58,761,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Liguria
2010,35,97,574,56,762,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Liguria
2011,39,95,560,62,757,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Liguria
2012,39,89,559,64,751,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Liguria
2013,30,100,574,53,756,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Liguria
2014,32,113,568,48,761,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Liguria
2015,42,107,561,45,755,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Liguria
2016,40,96,570,41,747,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Liguria
2017,34,104,569,37,744,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Liguria
2018,30,113,562,37,742,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Liguria
2019,35,108,549,48,740,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Liguria
2009,51,149,579,59,838,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Liguria
2010,49,141,585,65,840,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Liguria
2011,53,128,591,64,836,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Liguria
2012,56,134,569,72,831,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Liguria
2013,51,145,564,73,834,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Liguria
2014,47,148,580,60,835,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Liguria
2015,49,157,572,50,828,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Liguria
2016,51,167,565,37,820,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Liguria
2017,51,152,575,36,814,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Liguria
2018,54,142,576,37,809,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Liguria
2019,53,150,556,45,804,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Liguria
2009,0,0,0,0,0,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Liguria
2010,0,0,0,0,0,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Liguria
2011,0,0,0,0,0,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Liguria
2012,0,0,0,0,0,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Liguria
2013,0,0,0,0,0,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Liguria
2014,0,0,0,0,0,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Liguria
2015,0,0,0,0,0,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Liguria
2016,0,0,0,0,0,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Liguria
2017,0,0,0,0,0,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Liguria
2018,0,0,0,0,0,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Liguria
2019,0,0,0,0,0,g1V20926V09OH202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Liguria
2009,16,69,356,52,494,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Trentino Alto Adige / Südtirol
2010,18,60,365,55,499,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Trentino Alto Adige / Südtirol
2011,17,62,381,41,500,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Trentino Alto Adige / Südtirol
2012,15,65,385,36,502,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Trentino Alto Adige / Südtirol
2013,19,64,395,30,508,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Trentino Alto Adige / Südtirol
2014,23,66,399,27,515,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Trentino Alto Adige / Südtirol
2015,19,70,396,30,515,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Trentino Alto Adige / Südtirol
2016,17,71,398,29,515,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Trentino Alto Adige / Südtirol
2017,22,74,392,29,517,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Trentino Alto Adige / Südtirol
2018,22,77,403,17,519,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Trentino Alto Adige / Südtirol
2019,21,77,408,17,522,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Trentino Alto Adige / Südtirol
2009,22,76,355,56,508,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Trentino Alto Adige / Südtirol
2010,21,77,362,55,514,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Trentino Alto Adige / Südtirol
2011,24,73,378,44,518,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Trentino Alto Adige / Südtirol
2012,27,76,378,40,521,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Trentino Alto Adige / Südtirol
2013,25,85,384,32,526,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Trentino Alto Adige / Südtirol
2014,24,87,389,30,531,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Trentino Alto Adige / Südtirol
2015,22,92,384,33,532,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Trentino Alto Adige / Südtirol
2016,24,92,384,32,532,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Trentino Alto Adige / Südtirol
2017,27,86,386,34,533,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Trentino Alto Adige / Südtirol
2018,23,92,395,24,535,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Trentino Alto Adige / Südtirol
2019,19,95,399,23,537,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Trentino Alto Adige / Südtirol
2009,0,0,0,0,0,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Trentino Alto Adige / Südtirol
2010,0,0,0,0,0,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Trentino Alto Adige / Südtirol
2011,0,0,0,0,0,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Trentino Alto Adige / Südtirol
2012,0,0,0,0,0,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Trentino Alto Adige / Südtirol
2013,0,0,0,0,0,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Trentino Alto Adige / Südtirol
2014,0,0,0,0,0,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Trentino Alto Adige / Südtirol
2015,0,0,0,0,0,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Trentino Alto Adige / Südtirol
2016,0,0,0,0,0,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Trentino Alto Adige / Südtirol
2017,0,0,0,0,0,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Trentino Alto Adige / Südtirol
2018,0,0,0,0,0,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Trentino Alto Adige / Südtirol
2019,0,0,0,0,0,g1V20926V09OI200000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Trentino Alto Adige / Südtirol
2009,96,303,1773,192,2365,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Veneto
2010,106,324,1746,207,2383,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Veneto
2011,96,332,1756,193,2377,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Veneto
2012,89,317,1790,171,2368,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Veneto
2013,104,339,1774,176,2393,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Veneto
2014,109,351,1770,186,2416,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Veneto
2015,99,341,1758,206,2404,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Veneto
2016,83,349,1735,219,2386,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Veneto
2017,76,370,1765,171,2383,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Veneto
2018,98,361,1791,132,2382,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Veneto
2019,103,334,1812,136,2384,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Veneto
2009,142,406,1706,195,2448,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Veneto
2010,158,400,1703,208,2469,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Veneto
2011,160,414,1711,193,2477,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Veneto
2012,159,420,1733,170,2481,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Veneto
2013,141,424,1761,172,2498,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Veneto
2014,128,443,1754,187,2512,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Veneto
2015,137,417,1724,228,2506,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Veneto
2016,143,410,1726,216,2495,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Veneto
2017,140,448,1760,141,2489,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Veneto
2018,137,470,1749,127,2484,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Veneto
2019,140,434,1757,150,2481,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Veneto
2009,0,0,0,0,0,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Veneto
2010,0,0,0,0,0,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Veneto
2011,0,0,0,0,0,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Veneto
2012,0,0,0,0,0,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Veneto
2013,0,0,0,0,0,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Veneto
2014,0,0,0,0,0,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Veneto
2015,0,0,0,0,0,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Veneto
2016,0,0,0,0,0,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Veneto
2017,0,0,0,0,0,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Veneto
2018,0,0,0,0,0,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Veneto
2019,0,0,0,0,0,g1V20926V09OI201000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Veneto
2009,25,79,413,70,587,g1V20926V09OI202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Friuli-Venezia Giulia
2010,28,85,412,65,590,g1V20926V09OI202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Friuli-Venezia Giulia
2011,27,84,433,43,589,g1V20926V09OI202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Friuli-Venezia Giulia
2012,30,74,426,56,587,g1V20926V09OI202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Friuli-Venezia Giulia
2013,25,75,422,67,589,g1V20926V09OI202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Friuli-Venezia Giulia
2014,23,78,432,59,592,g1V20926V09OI202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Friuli-Venezia Giulia
2015,22,76,426,67,591,g1V20926V09OI202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Friuli-Venezia Giulia
2016,22,82,425,60,589,g1V20926V09OI202000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,maschi,Friuli-Venezia Giulia
