anno,Limitazioni gravi,Limitazioni non gravi,Senza limitazioni,Non indicato,Totale,file,tavola,pagina,regione
2010,1814,5035,21205,2676,30731,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Nazione Italia
2011,1740,4971,21308,2757,30776,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Nazione Italia
2012,1769,4943,21429,2654,30794,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Nazione Italia
2013,1782,4963,21639,2611,30994,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Nazione Italia
2014,1769,5125,21790,2474,31158,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Nazione Italia
2015,1767,5280,21808,2284,31138,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Nazione Italia
2016,1787,5361,21885,2026,31059,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Nazione Italia
2017,1858,5489,21974,1664,30984,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Nazione Italia
2018,1828,5579,21978,1522,30908,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Nazione Italia
2019,1837,5511,21868,1608,30823,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,femmine,Nazione Italia
2009,0,0,0,0,0,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Nazione Italia
2010,0,0,0,0,0,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Nazione Italia
2011,0,0,0,0,0,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Nazione Italia
2012,0,0,0,0,0,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Nazione Italia
2013,0,0,0,0,0,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Nazione Italia
2014,0,0,0,0,0,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Nazione Italia
2015,0,0,0,0,0,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Nazione Italia
2016,0,0,0,0,0,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Nazione Italia
2017,0,0,0,0,0,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Nazione Italia
2018,0,0,0,0,0,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Nazione Italia
2019,0,0,0,0,0,g1V30926V09OG000000000_st,Tavola: a.1 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori assoluti in migliaia) per sesso,non indicato,Nazione Italia
